model,params_m,val_p90_e4,val_p90_e8,val_p90_e12,val_p90_e16,test_p90_e16,train_h_e1_4,train_h_e5_8,train_h_e9_12,train_h_e13_16,inference_ms
google/bert_uncased_L-12_H-768_A-12,67.3,1.285565,1.142129,1.155115,1.146377,2.830926,2.603609,2.547294,2.547294,2.547294,41.0324
google/bert_uncased_L-4_H-128_A-2,4.4,1.404044,1.347161,1.311655,1.313842,4.720755,1.216459,0.956055,0.956055,0.956055,28.5980
google/bert_uncased_L-4_H-512_A-8,22.5,1.301434,1.19195,1.182937,1.156805,3.205799,1.44983,1.441388,1.441388,1.441388,29.4754
google/bert_uncased_L-4_H-768_A-12,38.7,1.244594,1.173509,1.211137,1.219657,3.001868,1.656391,1.838046,1.838046,1.838046,29.7600
google/bert_uncased_L-6_H-128_A-2,4.6,1.309393,1.306287,1.225024,1.238436,3.448865,1.1493,1.110225,1.110225,1.110225,31.4678
google/bert_uncased_L-6_H-256_A-4,10.4,1.382242,1.230335,1.17792,1.185655,3.794885,1.139544,1.122338,1.122338,1.122338,30.8891
google/bert_uncased_L-8_H-256_A-4,11.2,1.299119,1.210555,1.169016,1.167563,3.135857,1.291695,1.227402,1.227402,1.227402,33.1972
google/bert_uncased_L-8_H-512_A-8,28.9,1.231877,1.17174,1.146505,1.127382,2.601838,1.665226,1.547005,1.547005,1.547005,38.8878
google/bert_uncased_L-8_H-768_A-12,53.0,1.209589,1.166165,1.165071,1.127714,2.917160,2.112097,2.179122,2.179122,2.179122,34.3660
google/electra-base-discriminator,66.7,1.19977,1.18954,1.144127,1.14534,3.541966,3.312132,3.347999,3.347999,3.347999,39.5488
google/electra-large-generator,41.6,1.21986,1.155449,1.157925,1.148396,3.034646,2.222968,2.332161,2.332161,2.332161,56.6200
microsoft/MiniLM-L12-H384-uncased,22.9,1.269606,1.163495,1.186387,1.148791,4.338911,1.532012,1.569114,1.569114,1.569114,37.6319
nreimers/MiniLM-L6-H384-uncased,17.5,1.343778,1.197109,1.211771,1.173816,3.918438,1.193385,1.209181,1.209181,1.209181,37.0685
sentence-transformers/all-MiniLM-L12-v2,22.9,1.229101,1.219789,1.177822,1.14598,2.670114,1.62837,1.519181,1.519181,1.519181,37.5152
sentence-transformers/paraphrase-MiniLM-L12-v2,22.9,1.265501,1.180259,1.154974,1.144283,3.048196,1.412649,1.430448,1.430448,1.430448,37.9175
EleutherAI/pythia-14m,7.1,1.359049,1.267059,1.247447,1.260946,3.847942,0.894675,0.822114,0.822114,0.822114,33.4752
FacebookAI/roberta-large,205.2,1.305003,1.273518,1.206136,1.176155,5.915346,4.273146,4.376569,4.376569,4.376569,51.1332
Qwen/Qwen2-0.5B-Instruct,315.7,1.197905,1.218469,1.158636,1.174980,4.041626,14.087607,14.114998,14.114998,14.114998,86.5365
Qwen/Qwen2-0.5B,315.7,1.220205,1.200005,1.212762,1.158266,2.409062,14.096163,14.212263,14.212263,14.212263,90.5842
Qwen/Qwen2.5-0.5B-Instruct,315.7,1.188411,1.188369,1.212562,1.154935,3.284129,14.104685,14.23168,14.23168,14.23168,88.0873
Qwen/Qwen2.5-0.5B,315.7,1.188768,1.294571,1.157960,1.222978,2.603943,14.143757,14.216379,14.216379,14.216379,92.7977
Qwen/Qwen2.5-Coder-0.5B-Instruct,315.7,1.193377,1.256571,1.166931,1.164208,2.717057,14.096197,14.159991,14.159991,14.159991,88.1958
